SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
AAL,1/2/2014,25.07,25.82,25.06,25.36,8998943
AAPL,1/2/2014,79.3828,79.5756,78.8601,79.0185,58791957
AAP,1/2/2014,110.36,111.88,109.29,109.74,542711
ABBV,1/2/2014,52.12,52.33,51.52,51.98,4569061
ABC,1/2/2014,70.11,70.23,69.48,69.89,1148391
ABT,1/2/2014,38.09,38.4,38,38.23,4967472
ACN,1/2/2014,81.5,81.92,81.09,81.13,2405384
ADBE,1/2/2014,59.06,59.53,58.94,59.29,2746370
ADI,1/2/2014,49.52,49.75,49.04,49.28,2799092
ADM,1/2/2014,43.22,43.29,42.79,42.99,2753765
ADP,1/2/2014,80.17,80.45,79.38,79.86,1965869
ADSK,1/2/2014,49.33,49.74,48.88,49.25,2488043
ADS,1/2/2014,262.44,262.68,258.78,262.34,547808
AEE,1/2/2014,36.05,36.11,35.47,35.53,1394264
AEP,1/2/2014,46.98,47.06,46.04,46.13,2752002
AES,1/2/2014,14.51,14.56,14.19,14.27,3987216
AET,1/2/2014,68.21,68.6,67.52,67.56,1650687
AFL,1/2/2014,66.63,66.694,65.81,65.96,1914657
AGN,1/2/2014,167.33,170.71,166.5937,168.05,1268722
AIG,1/2/2014,50.81,51.3,50.47,50.71,9198092
AIV,1/2/2014,25.9,26.14,25.66,25.91,844901
AIZ,1/2/2014,66.04,66.19,65.15,65.32,375524
AJG,1/2/2014,46.67,46.89,46.09,46.15,483694
AKAM,1/2/2014,47.11,47.1799,46.42,46.53,935107
ALB,1/2/2014,63.38,63.6,62.6,63.14,548782
ALGN,1/2/2014,57.06,57.37,56.43,56.96,437600
ALK,1/2/2014,36.665,36.965,36.275,36.59,900234
ALLE,1/2/2014,44.08,44.18,43.27,43.65,992872
ALL,1/2/2014,54.09,54.45,53.5,53.55,1909106
ALXN,1/2/2014,132.46,133.82,130.54,133.44,760197
AMAT,1/2/2014,17.69,17.69,17.37,17.55,7785873
AMD,1/2/2014,3.85,3.98,3.84,3.95,20569754
AME,1/2/2014,52.43,52.52,51.9,52.09,570244
AMGN,1/2/2014,114.36,116.19,114.06,115.795,2529728
AMG,1/2/2014,215.92,216.69,211.79,213.38,285563
AMP,1/2/2014,114.58,114.81,113.42,113.88,783767
AMT,1/2/2014,79.51,79.74,78.85,79.45,1701345
AMZN,1/2/2014,398.8,399.36,394.02,397.97,2140246
ANDV,1/2/2014,58.2,59.07,57.2601,57.96,2868883
ANSS,1/2/2014,86.44,87.15,85.29,86.01,276882
ANTM,1/2/2014,92,92.01,90.62,90.63,1432038
AON,1/2/2014,83.36,83.7,82.26,82.36,1209157
AOS,1/2/2014,26.965,26.99,26.535,26.66,1296914
APA,1/2/2014,85.82,85.97,85.16,85.48,2565384
APC,1/2/2014,79.03,79.03,78.01,78.56,3352844
APD,1/2/2014,111.56,111.95,111.11,111.44,839074
APH,1/2/2014,44.365,44.395,43.73,43.87,883640
ARE,1/2/2014,63.34,64.11,62.93,63.73,402659
ARNC,1/2/2014,31.59,31.74,30.93,31.59,7432953
ATVI,1/2/2014,17.91,18.075,17.8,18.07,6620855
AVB,1/2/2014,118.25,119.26,117.68,118.24,901928
AVGO,1/2/2014,52.85,52.88,51.89,52.65,1453732
AVY,1/2/2014,50.09,50.19,49.445,49.61,645964
AWK,1/2/2014,42.01,42.0899,41.5,41.58,788839
AXP,1/2/2014,90.9,91.08,89.38,89.45,5120019
AYI,1/2/2014,109.22,109.26,106.84,107.65,254146
AZO,1/2/2014,477.67,479.7,472.51,474.11,151840
A,1/2/2014,57.1,57.1,56.15,56.21,1916160
BAC,1/2/2014,15.69,16.16,15.68,16.1,149225696
BAX,1/2/2014,69.54,69.68,69.04,69.19,2069974
BA,1/2/2014,136.01,137.25,135.51,136.67,3368009
BBT,1/2/2014,37.18,37.18,36.7,36.77,3185617
BBY,1/2/2014,39.75,41,39.62,40.5,4019318
BDX,1/2/2014,110.41,110.41,108.79,109.14,665048
BEN,1/2/2014,57.36,57.56,56.405,56.72,1098073
BF.B,1/2/2014,37.775,37.84,37.005,37.325,704366
BIIB,1/2/2014,279.44,282.515,276.21,280.33,902226
BK,1/2/2014,34.3,35.03,34.3,34.56,3469457
BLK,1/2/2014,315.38,315.38,310.4699,312.8,396548
BLL,1/2/2014,25.625,25.81,25.5625,25.705,1234874
BMY,1/2/2014,52.52,53.16,52.14,52.27,5654293
BRK.B,1/2/2014,118.34,118.5,117.36,117.5,3087000
